id,class,long,lat,NDVI,NDWI,NDCI,NDMI,PSRI,BNDVI,ONIR,ODVI,HubDist
"94540","4",119.962893,5.087282,0.047856,-0.056112,0.037661,0.074066,0.026989,0.062843,5395.508891,0.045929,891.253083977088
"94541","4",119.963073,5.087281,0.044015,-0.051302,0.039354,0.074169,0.024759,0.057576,5755.508891,0.042088,894.184024154134
"94542","4",119.963253,5.087280,0.039791,-0.049225,0.031472,0.074991,0.023902,0.052789,5972.508891,0.037864,897.550322328175
"94543","4",119.963434,5.087279,0.050208,-0.057031,0.043208,0.061707,0.021695,0.062323,5545.508891,0.048281,901.347100447069
"94544","4",119.963614,5.087278,0.062453,-0.060781,0.038565,0.068388,-0.006881,0.058718,5301.508891,0.060526,905.568943693619
"94545","4",119.963794,5.087277,0.060951,-0.060478,0.019047,0.084189,-0.002620,0.059532,5352.508891,0.059024,910.209937111421
"95863","4",119.963072,5.087100,0.035475,-0.051472,0.045112,0.050588,0.055328,0.066977,5098.508891,0.033548,913.920978455272
"95864","4",119.963253,5.087099,0.034107,-0.050111,0.039613,0.052437,0.048490,0.061690,5349.508891,0.032180,917.21483912835
"95865","4",119.963433,5.087098,0.043940,-0.054021,0.039489,0.058734,0.028636,0.059939,5209.508891,0.042013,920.930545529075
"95866","4",119.963613,5.087098,0.045234,-0.052687,0.033203,0.067265,0.027730,0.060487,5237.508891,0.043307,925.063014169021
"97186","4",119.963252,5.086919,0.049449,-0.054430,0.042968,0.062077,0.015277,0.058030,4888.508891,0.047522,936.892760956983
"97187","4",119.963432,5.086918,0.050682,-0.056176,0.039017,0.062829,0.029271,0.067168,4889.508891,0.048755,940.530726862498
"98508","4",119.963251,5.086738,0.049622,-0.069512,0.039522,0.058545,0.082892,0.098899,4263.508891,0.047695,956.583260547645
"4799","3",119.990880,5.099439,0.484737,-0.420867,0.166124,0.291509,-0.005394,0.479773,2650.508891,0.482810,701.055361869752
"6121","3",119.990879,5.099258,0.499418,-0.447390,0.147151,0.325585,-0.010665,0.489995,2729.508891,0.497491,681.191487786507
"6122","3",119.991060,5.099257,0.486519,-0.429317,0.154662,0.300401,-0.010676,0.476752,2607.508891,0.484592,683.66955451057
