id,class,long,lat,NDVI,NDWI,NDCI,PSRI,BNDVI,ONIR,ODVI,HubName,HubDist
"1422251","5",120.058856,5.051149,0.219759,-0.209877,0.170817,0.113067,0.312408,5241.334259,0.231979,"516441",1179.60823088806
"1422252","5",120.058946,5.051149,0.222068,-0.212002,0.180331,0.113067,0.316574,5149.334259,0.234288,"516441",1187.50045366348
"1422253","5",120.059037,5.051148,0.218967,-0.198181,0.203068,0.104532,0.310131,5293.334259,0.231187,"516441",1195.42405266587
"1422254","5",120.059127,5.051148,0.211080,-0.193092,0.152303,0.113798,0.300697,5877.334259,0.223300,"516441",1203.3784080875
"1422255","5",120.059217,5.051147,0.212264,-0.198534,0.179433,0.099306,0.293314,6165.334259,0.224484,"516441",1211.36291402975
"1422256","5",120.059307,5.051147,0.195616,-0.184600,0.162300,0.109984,0.283422,6169.334259,0.207836,"516441",1219.3769781878
"1422257","5",120.059397,5.051147,0.176052,-0.171125,0.147212,0.120138,0.269298,6237.334259,0.188272,"516441",1227.4200215717
"1422258","5",120.059487,5.051146,0.180676,-0.172370,0.147596,0.117491,0.271592,6301.334259,0.192896,"516441",1235.49147819529
"1422259","5",120.059577,5.051146,0.185448,-0.180507,0.151434,0.124072,0.282033,6333.334259,0.197668,"516441",1243.59079479834
"1422260","5",120.059667,5.051145,0.177642,-0.178778,0.145670,0.129905,0.278243,6301.334259,0.189862,"516441",1251.71743054565
"1422261","5",120.059757,5.051145,0.178091,-0.175455,0.144880,0.125000,0.274428,6325.334259,0.190311,"516441",1259.87085676581
"1422262","5",120.059847,5.051144,0.183044,-0.180013,0.149093,0.119703,0.275623,6337.334259,0.195264,"516441",1268.05055665582
"1422263","5",120.059937,5.051144,0.189555,-0.187259,0.147652,0.120713,0.283478,6349.334259,0.201775,"516441",1276.25602502647
"1422264","5",120.060027,5.051144,0.198960,-0.193914,0.157463,0.120447,0.294262,6345.334259,0.211180,"516441",1284.48676801831
"1422265","5",120.060118,5.051143,0.193894,-0.186572,0.156285,0.111892,0.281729,6321.334259,0.206114,"516441",1292.74230284927
"1422266","5",120.060208,5.051143,0.178846,-0.171711,0.140773,0.118786,0.270028,6325.334259,0.191066,"516441",1301.02215755627
"1422267","5",120.060298,5.051142,0.162555,-0.162555,0.133437,0.128008,0.258904,6321.334259,0.174775,"516441",1309.32587074425
"1422268","5",120.060388,5.051142,0.167879,-0.168618,0.136412,0.127480,0.264203,6357.334259,0.180099,"516441",1317.65299132946
"1422269","5",120.060478,5.051142,0.190035,-0.185869,0.140485,0.124273,0.286602,6421.334259,0.202255,"516441",1326.00307831032
"1422270","5",120.060568,5.051141,0.207584,-0.198961,0.162550,0.112639,0.297962,6357.334259,0.219804,"516441",1334.37570051467
"1422271","5",120.060658,5.051141,0.207373,-0.197128,0.169727,0.104549,0.290867,6305.334259,0.219593,"511558",1681.28879500729
"1422272","5",120.060748,5.051140,0.188067,-0.179652,0.150683,0.114924,0.277545,6297.334259,0.200287,"511558",1673.34573992518
"1422273","5",120.060838,5.051140,0.182257,-0.179224,0.150372,0.126984,0.280195,6325.334259,0.194477,"511558",1665.42472383108
"1422274","5",120.060928,5.051139,0.171954,-0.174189,0.137831,0.130185,0.270289,6357.334259,0.184174,"511558",1657.52606266657
"1422275","5",120.061018,5.051139,0.162425,-0.170886,0.129185,0.138097,0.265390,6369.334259,0.174645,"511558",1649.65007752896
"1422276","5",120.061109,5.051139,0.170932,-0.177629,0.136984,0.137030,0.274415,6381.334259,0.183152,"511558",1641.79709474736
"1422277","5",120.061199,5.051138,0.186603,-0.188498,0.147656,0.129550,0.285862,6409.334259,0.198823,"511558",1633.96744595925
"1422278","5",120.061289,5.051138,0.192431,-0.196653,0.153827,0.123662,0.287842,6405.334259,0.204651,"511558",1626.16146819554
"1422279","5",120.061379,5.051137,0.195005,-0.203483,0.154034,0.125502,0.292020,6433.334259,0.207225,"511558",1618.37950395887
"1422280","5",120.061469,5.051137,0.180564,-0.194797,0.134938,0.133262,0.280517,6501.334259,0.192784,"511558",1610.62190130993
"1422281","5",120.061559,5.051136,0.164502,-0.183161,0.117138,0.146577,0.271868,6501.334259,0.176722,"511558",1602.88901394577
"1422282","5",120.061649,5.051136,0.177813,-0.192937,0.137203,0.141745,0.285368,6401.334259,0.190033,"511558",1595.18120128453
"1422283","5",120.061739,5.051136,0.194544,-0.206297,0.137916,0.130632,0.294159,6325.334259,0.206764,"511558",1587.49882854866
"1422284","5",120.061829,5.051135,0.196347,-0.206182,0.141089,0.128152,0.294512,6305.334259,0.208567,"511558",1579.84226684173
"1422285","5",120.061919,5.051135,0.213953,-0.219626,0.156807,0.113108,0.301746,6277.334259,0.226173,"511558",1572.21189324455
"1422286","5",120.062009,5.051134,0.190507,-0.208581,0.131799,0.141245,0.297431,6293.334259,0.202727,"511558",1564.60809088701
"1422287","5",120.062099,5.051134,0.168159,-0.187906,0.120426,0.143116,0.272727,6277.334259,0.180379,"511558",1557.03124904051
"1422288","5",120.062190,5.051133,0.169399,-0.185789,0.123845,0.140888,0.272918,6245.334259,0.181619,"511558",1549.48176318783
"1422289","5",120.062280,5.051133,0.165279,-0.181552,0.131261,0.143759,0.272028,6245.334259,0.177499,"511558",1541.96003512444
"1422290","5",120.062370,5.051133,0.169172,-0.186243,0.132771,0.144307,0.276536,6281.334259,0.181392,"511558",1534.46647302516
